"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-05-31,91443,"76513","TX","Killeen","Bell","Belton",1795,143100,0.005621925509487,0.0214132762312634,0.0537555228276878,0.0320807684150541,0.0104271156258928,"2017-05","2017-Q2",143100,0,"2017-05"
2017-05-31,93448,"80524","CO","Fort Collins","Larimer","Fort Collins",1796,368200,0.00491266375545852,0.020509977827051,0.0823045267489712,0.0894585391997786,0.0452180581403081,"2017-05","2017-Q2",368200,0,"2017-05"
2017-05-31,94880,"85296","AZ","Phoenix","Maricopa","Gilbert",1797,276600,0.00362844702467344,0.0139296187683284,0.0597701149425287,0.0976414301454442,-0.00604835005933746,"2006-01","2006-Q1",318800,-0.13237139272271,"2005-07"
2017-05-31,90007,"73401","OK","Ardmore","Carter","Ardmore",1798,91400,0.00219298245614035,0.00771775082690187,-0.0795568982880161,0.0264891553318396,,"2016-04","2016-Q2",101300,-0.0977295162882527,"2015-09"
2017-05-31,71520,"31405","GA","Savannah","Chatham","Savannah",1799,154700,0.00847457627118644,0.0191040843214756,0.0285904255319149,0.0370032576328512,-0.00223472904217181,"2007-08","2007-Q3",159400,-0.0294855708908407,"2006-04"
2017-05-31,65783,"19115","PA","Philadelphia","Philadelphia","Philadelphia",1800,217200,0.0018450184501845,0.00742115027829314,0.0538573508005822,0.0231658586846102,-0.00531979962096274,"2007-08","2007-Q3",231600,-0.0621761658031088,"2005-07"
2017-05-31,69710,"28092","NC","Charlotte","Lincoln","Lincolnton",1801,119500,0.0075885328836425,0.0319516407599309,0.0943223443223443,0.0462970502097177,0.0104509119707439,"2017-05","2017-Q2",119500,0,"2017-05"
2017-05-31,88485,"70122","LA","New Orleans","Orleans","New Orleans",1802,169900,-0.00990675990675991,-0.0269186712485682,-0.00176263219741481,0.0606007615881468,,"2017-02","2017-Q1",174600,-0.0269186712485682,"2016-05"
2017-05-31,82257,"55407","MN","Minneapolis-St Paul","Hennepin","Minneapolis",1803,220700,0.00363801728058208,0.01099404489235,0.0941993058998513,0.0891506831424424,0.00979641844314605,"2017-05","2017-Q2",220700,0,"2017-05"
2017-05-31,93196,"80004","CO","Denver","Jefferson","Arvada",1804,373500,0.00268456375838926,0.015773728583084,0.0988526037069726,0.113798619279831,0.0504114585322526,"2017-05","2017-Q2",373500,0,"2017-05"
