"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-06-30,"47354","IN",,"Randolph","Losantville",15732,804,0.0138713745271122,0.0177215189873418,-0.0207064555420219,538
2017-06-30,"61859","IL","Champaign-Urbana","Champaign","Ogden",15733,1121,0.00809352517985612,0.0172413793103448,0.0117328519855596,475
2017-06-30,"33924","FL","Fort Myers","Lee","Captiva",15734,4083,0.0230518667000752,0.0182044887780549,0.0258793969849246,1577
2017-06-30,"47847","IN","Terre Haute","Vermillion","Dana",15735,744,0.00134589502018843,0.006765899864682,-0.0053475935828877,422
2017-06-30,"16836","PA","DuBois","Clearfield","Covington Township",15736,958,0.00104493207941484,0.00630252100840336,-0.042,593
2017-06-30,"51577","IA","Omaha","Pottawattamie","Walnut",15737,984,-0.00202839756592292,-0.016983016983017,0.0379746835443038,503
2017-06-30,"21912","MD","Philadelphia","Cecil","Warwick",15738,1462,-0.00814111261872456,-0.00746775288526816,-0.00136612021857924,563
2017-06-30,"37723","TN","Crossville","Cumberland","Crab Orchard",15739,847,0.00593824228028504,0.00833333333333333,0.00833333333333333,460
2017-06-30,"22738","VA","Charlottesville","Greene","Barboursville",15740,1318,-0.00227100681302044,-0.00976709241172051,-0.0308823529411765,447
2017-06-30,"46340","IN","Michigan City","La Porte","Hanna",15741,1130,-0.00352733686067019,-0.0182450043440487,0.00444444444444444,597
2017-06-30,"98351","WA","Seattle","Pierce","Longbranch",15742,1579,0.00190355329949239,0.00509229789942712,0.0300065231572081,687
2017-06-30,"21662","MD","Easton","Talbot","Royal Oak",15743,1979,0.0164355418592707,-0.0119820269595607,-0.0846438482886216,547
2017-06-30,"01368","MA","Worcester","Worcester","Royalston",15744,1421,0.0056617126680821,0.00140944326990839,0.0157255182273052,566
2017-06-30,"53069","WI","Milwaukee","Waukesha","Okauchee",15745,2118,-0.000943396226415094,0.000472366556447804,-0.0148837209302326,462
2017-06-30,"56314","MN",,"Morrison","Bowlus",15746,1247,0.00564516129032258,0.0204582651391162,-0.0165615141955836,542
2017-06-30,"57035","SD","Sioux Falls","Minnehaha","Humboldt",15747,1161,0.00606585788561525,0.0175284837861525,0.069060773480663,416
2017-06-30,"53582","WI","Madison","Iowa","Ridgeway",15748,1139,-0.00437062937062937,-0.00697471665213601,-0.00175284837861525,485
2017-06-30,"08317","NJ","Atlantic City","Atlantic","Weymouth Township",15749,1511,0.00465425531914894,0.0113788487282463,0.0161398789509079,452
2017-06-30,"95636","CA","Sacramento","El Dorado","Somerset",15750,1554,0.00974658869395711,0.0270984798413748,0.0564242012236574,474
2017-06-30,"83803","ID","Coeur d'Alene","Kootenai","Bayview",15751,1263,0.00557324840764331,-0.00629425649095201,0.00717703349282297,586
2017-06-30,"49322","MI","Grand Rapids","Montcalm","Coral",15752,939,0.00967741935483871,0.0140388768898488,-0.021875,581
2017-06-30,"50106","IA","Marshalltown","Marshall","Gilman",15753,898,-0.0121012101210121,-0.0207197382769902,-0.0892494929006085,539
2017-06-30,"46987","IN","Marion","Grant","Sweetser",15754,932,0.00975081256771398,0.0163576881134133,-0.0450819672131148,458
2017-06-30,"03243","NH","Concord","Merrimack","Hill",15755,1260,0.0336341263330599,0.008,0.0268948655256724,460
2017-06-30,"46346","IN","Michigan City","La Porte","Kingsford Heights",15756,749,0.00536912751677852,0.0316804407713499,-0.0105680317040951,809
2017-06-30,"31561","GA","Brunswick","Glynn","Sea Island",15757,12370,0.00930156657963446,0.0479498475093189,0.299096828397395,1006
2017-06-30,"53506","WI","Madison","Iowa","Avoca",15758,998,0.00301507537688442,0.0278063851699279,0.0235897435897436,459
2017-06-30,"12719","NY",,"Sullivan","Highland",15759,1441,0.0190947666195191,0.0322349570200573,-0.0341823056300268,496
2017-06-30,"21636","MD",,"Caroline","Goldsboro",15760,1392,0.000718907260963336,0,-0.0231578947368421,537
2017-06-30,"87540","NM","Santa Fe","Santa Fe","Lamy",15761,2334,0.00646830530401035,0.0382562277580071,-0.065278334000801,580
2017-06-30,"56580","MN","Fargo","Clay","Sabin",15762,1368,-0.00073046018991965,0.0125832716506292,0.0125832716506292,444
2017-06-30,"94970","CA","San Francisco","Marin","Stinson Beach",15763,9113,0.00385547477417933,0.0104224415123628,0.0631124591693887,628
2017-06-30,"03740","NH","Claremont","Grafton","Bath",15764,1285,-0.030920060331825,-0.0495562130177515,0.0321285140562249,508
2017-06-30,"20680","MD","California-Lexington Park","Saint Marys","Ridge",15765,1479,-0.00336927223719677,0.0068073519400953,-0.0153129161118509,604
2017-06-30,"21671","MD","Easton","Talbot","Tilghman",15766,1529,-0.0304375396322131,-0.0567550894509562,0.0820948336871904,813
2017-06-30,"29037","SC","Newberry","Newberry","Chappells",15767,1139,-0.00175284837861525,-0.0197934595524957,-0.0452640402347024,432
2017-06-30,"03875","NH",,"Carroll","Madison",15768,1267,0.044517724649629,0.0691983122362869,0.000789889415481833,498
2017-06-30,"37171","TN","Clarksville","Montgomery","Southside",15769,863,0.00116009280742459,0.0225118483412322,-0.0281531531531532,570
2017-06-30,"55929","MN","Rochester","Olmsted","Dover",15770,1404,0,0.00789662598707825,-0.0161177295024527,456
2017-06-30,"61770","IL","Bloomington","McLean","Saybrook",15771,908,-0.0267952840300107,-0.0772357723577236,0.0306469920544835,437
2017-06-30,"49835","MI","Escanaba","Delta","Garden",15772,884,0.00226757369614512,0.00113250283125708,-0.0933333333333333,681
2017-06-30,"61560","IL","Ottawa","Putnam","Putnam",15773,1276,0.00630914826498423,-0.00234558248631744,-0.00545596258768511,694
2017-06-30,"49818","MI","Escanaba","Delta","Cornell",15774,915,0.00109409190371991,-0.00326797385620915,-0.0663265306122449,650
2017-06-30,"54427","WI","Wausau","Marathon","Eland",15775,1019,-0.00293542074363992,0.0149402390438247,0.101621621621622,467
2017-06-30,"56010","MN","Mankato","Blue Earth","Amboy",15776,1285,-0.0183346065699007,-0.0122982321291314,0.0464169381107492,511
2017-06-30,"68633","NE","Fremont","Dodge","Dodge",15777,1039,0,0.0176297747306562,0.0755693581780538,452
2017-06-30,"46348","IN","Michigan City","La Porte","La Crosse",15778,963,0.00521920668058455,0.0222929936305732,0.00732217573221757,589
2017-06-30,"51004","IA","Sioux City","Woodbury","Anthon",15779,876,0.00805523590333717,0.00458715596330275,0.00921658986175115,462
2017-06-30,"95306","CA",,"Mariposa","Catheys Valley",15780,1694,0.0107398568019093,0.041820418204182,0.0567685589519651,445
2017-06-30,"21869","MD","Cambridge","Dorchester","Vienna",15781,1271,0.00713153724247227,0.00953137410643368,-0.0185328185328185,723
2017-06-30,"97011","OR","Portland","Clackamas","Brightwood",15782,1590,-0.0037593984962406,-0.00562851782363977,-0.022140221402214,533
2017-06-30,"17006","PA","Harrisburg","Perry","Toboyne",15783,987,-0.00604229607250755,-0.0314033366045142,-0.0408163265306122,441
2017-06-30,"47955","IN","Crawfordsville","Montgomery","Linden",15784,841,0.00119047619047619,-0.00118764845605701,0.014475271411339,619
2017-06-30,"49268","MI","Adrian","Lenawee","Palmyra",15785,924,0.00216919739696312,0.00216919739696312,-0.0138740661686233,433
2017-06-30,"68456","NE","Lincoln","Seward","Utica",15786,1095,-0.000912408759124088,-0.00815217391304348,-0.0343915343915344,494
2017-06-30,"04978","ME",,"Somerset","Smithfield",15787,1157,0.00259965337954939,0.0238938053097345,0.0762790697674419,622
2017-06-30,"21657","MD","Baltimore","Queen Annes","Queen Anne",15788,1605,-0.00124455507156192,0.006900878293601,0.0428849902534113,576
2017-06-30,"97823","OR",,"Gilliam","Condon",15789,1173,0.0120793787748059,0.013828867761452,0.00600343053173242,463
2017-06-30,"46057","IN","Frankfort","Clinton","Michigantown",15790,1037,0,-0.00670498084291188,-0.000963391136801541,474
2017-06-30,"52341","IA","Cedar Rapids","Linn","Toddville",15791,1422,0.00423728813559322,0.0252343186733958,-0.0538922155688623,443
2017-06-30,"73458","OK","Ardmore","Carter","Springer",15792,848,-0.0207852193995381,-0.0546265328874025,-0.152,569
2017-06-30,"36749","AL","Montgomery","Autauga","Jones",15793,946,0,0.037280701754386,0.0487804878048781,602
2017-06-30,"92333","CA","Riverside","San Bernardino","Fawnskin",15794,1303,0.0046260601387818,0.0203602192638998,0.02356637863315,917
2017-06-30,"03605","NH","Claremont","Sullivan","Lempster",15795,1305,0.00153491941673062,0.0163551401869159,0.0714285714285714,878
2017-06-30,"56578","MN",,"Becker","Rochert",15796,1383,-0.00360230547550432,0.0109649122807018,-0.0219236209335219,641
2017-06-30,"54836","WI","Duluth","Douglas","Foxboro",15797,1076,0.00654817586529467,-0.0128440366972477,-0.00462534690101758,578
2017-06-30,"47968","IN","Crawfordsville","Montgomery","New Ross",15798,959,0.00629590766002099,0.00735294117647059,0.0191285866099894,513
2017-06-30,"55724","MN","Duluth","Saint Louis","Cotton",15799,1025,-0.0163147792706334,-0.00966183574879227,-0.0181992337164751,553
2017-06-30,"91008","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Bradbury",15800,6587,0.0104310477067035,0.0419171148370769,0.160295930949445,459
2017-06-30,"25843","WV","Beckley","Raleigh","Ghent",15801,1397,-0.0196491228070175,-0.0155038759689922,-0.0338865836791148,427
2017-06-30,"52053","IA","Dubuque","Dubuque","Holy Cross",15802,939,-0.00949367088607595,-0.062874251497006,-0.0892337536372454,496
2017-06-30,"56524","MN","Fergus Falls","Otter Tail","Clitherall",15803,1315,-0.00303260045489007,0.00998463901689708,-0.0640569395017794,700
2017-06-30,"56016","MN","Albert Lea","Freeborn","Clarks Grove",15804,1040,-0.00287631831255992,-0.0414746543778802,-0.0780141843971631,467
2017-06-30,"83868","ID",,"Shoshone","Smelterville",15805,760,0.0133333333333333,0.0174029451137885,-0.0104166666666667,437
2017-06-30,"81233","CO","Canon City","Fremont","Howard",15806,1253,0.0080450522928399,-0.0133858267716535,0.0024,476
2017-06-30,"56661","MN",,"Itasca","Northome",15807,1146,-0.00520833333333333,-0.00779220779220779,-0.0817307692307692,480
2017-06-30,"54027","WI","Minneapolis-St Paul","Saint Croix","Wilson",15808,1287,0.0165876777251185,-0.0183066361556064,-0.065359477124183,546
2017-06-30,"62219","IL","St. Louis","Clinton","Beckemeyer",15809,982,-0.0100806451612903,-0.0130653266331658,-0.0363101079489696,407
2017-06-30,"20674","MD","California-Lexington Park","Saint Marys","Piney Point",15810,1569,0.00127632418634333,0.012911555842479,0.021484375,641
2017-06-30,"80515","CO","Fort Collins","Larimer","Drake",15811,1380,0.00803506208911614,0.0087719298245614,0.0534351145038168,780
2017-06-30,"08241","NJ","Atlantic City","Atlantic","Port Republic",15812,1348,-0.00148148148148148,0.00148588410104012,-0.046001415428167,477
2017-06-30,"60959","IL","Champaign-Urbana","Ford","Piper City",15813,1113,-0.0035810205908684,-0.0106666666666667,-0.0454545454545455,455
2017-06-30,"61729","IL","Peoria","Woodford","Congerville",15814,1460,0.00137174211248285,0.02312543798178,-0.0121786197564276,427
2017-06-30,"51052","IA","Sioux City","Woodbury","Salix",15815,1084,0,0.0304182509505703,-0.0590277777777778,415
2017-06-30,"49725","MI","Sault Ste. Marie","Chippewa","De Tour Village",15816,924,0.0142700329308452,0.0120481927710843,-0.108108108108108,750
2017-06-30,"92358","CA","Riverside","San Bernardino","Lytle Creek",15817,1297,0.00777000777000777,0.020456333595594,0.0468119451170299,424
2017-06-30,"93529","CA",,"Mono","June Lake",15818,1937,0.0120167189132706,0.0314164004259851,0.0194736842105263,874
2017-06-30,"63785","MO","Cape Girardeau","Cape Girardeau","Whitewater",15819,847,0.0180288461538462,0.0762388818297332,0.124833997343958,879
2017-06-30,"05039","VT","Claremont","Orange","Corinth",15820,1449,0.0161290322580645,0.058436815193572,0.0853932584269663,534
2017-06-30,"98555","WA","Shelton","Mason","Lilliwaup",15821,1230,0.00244498777506112,0.0310142497904443,0.225099601593625,437
2017-06-30,"49276","MI","Adrian","Lenawee","Riga",15822,1043,0.0255653883972468,0.0265748031496063,0.0621181262729124,375
2017-06-30,"21659","MD","Cambridge","Dorchester","Eldorado",15823,1335,0.00830815709969789,0.0167555217060168,-0.0111111111111111,483
2017-06-30,"46365","IN","Michigan City","La Porte","Mill Creek",15824,1153,-0.0103004291845494,-0.0245346869712352,0.00963222416812609,522
2017-06-30,"50575","IA",,"Calhoun","Pomeroy",15825,789,0.00381679389312977,-0.00126582278481013,-0.144251626898048,437
2017-06-30,"03282","NH","Claremont","Grafton","Wentworth",15826,1270,-0.0275650842266462,-0.0682318415260455,0.000788022064617809,444
2017-06-30,"66035","KS","St. Joseph","Doniphan","Highland",15827,808,0.01,0.00748129675810474,-0.0797266514806378,421
2017-06-30,"21779","MD","Hagerstown","Washington","Rohrersville",15828,1362,-0.0187319884726225,-0.0415200562983814,-0.0144717800289436,475
2017-06-30,"98940","WA","Ellensburg","Kittitas","Ronald",15829,1458,-0.010183299389002,-0.0214765100671141,0.118098159509202,411
2017-06-30,"63039","MO","St. Louis","Franklin","Gray Summit",15830,909,0.00553097345132743,0.00110132158590308,-0.0411392405063291,435
2017-06-30,"55781","MN","Duluth","Saint Louis","Side Lake",15831,1295,0.000772797527047913,0.0140955364134691,-0.0588662790697674,617
2017-06-30,"50482","IA","Mason City","Cerro Gordo","Ventura",15832,1054,-0.000947867298578199,-0.0140318054256314,-0.0321395775941231,503
2017-06-30,"92268","CA","Riverside","San Bernardino","Yucca Valley",15833,1100,0.0175763182238668,0.0261194029850746,-0.0701606086221471,403
2017-06-30,"21711","MD","Hagerstown","Washington","Big Pool",15834,1159,-0.00258175559380379,-0.000862068965517241,-0.0177966101694915,533
